name;description;insee;lat;long
A LA FONT;1390 Civrieux;1105;45.916667;4.883333
RUE DE LA FONT BENITE;1600 Reyrieux;1322;45.933333;4.816667
RUE DE LA FONT MARTIN;1600 Reyrieux;1322;45.933333;4.816667
AU DESSUS DES FONTINETTES;2200 Acy;2003;49.35;3.416667
LES FONTINETTES;2200 Acy;2003;49.35;3.416667
LES FONTINETTES NORD;2200 Acy;2003;49.35;3.416667
LA FONTINETTE;2340 Agnicourt-et-Séchelles;2004;49.716667;3.95
LES FONTINETTES;2190 Aguilcourt;2005;49.4;3.966667
LES FONTINETTES;2200 Ambrief;2012;49.316667;3.4
AU BOUT DE LA FONTINETTE;2190 Amifontaine;2013;49.483333;3.916667
LA FONTINETTE;2190 Amifontaine;2013;49.483333;3.916667
IMP FONTINETTE;2190 Amifontaine;2013;49.483333;3.916667
RUE DE LA FONTINETTE;2190 Amifontaine;2013;49.483333;3.916667
RLE DE LA FONTINETTE;2190 Amifontaine;2013;49.483333;3.916667
LES FONTINETTES;2840 Athies-sous-Laon;2028;49.566667;3.683333
LA FONTINETTE;2580 Autreppes;2040;49.9;3.85
LES FONTINETTES;2290 Bagneux;2043;49.466667;3.283333
LA FONTINETTE;2700 Barisis;2049;49.578698;3.327889
AU DESSUS DES FONTINETTES;2330 Baulne-en-Brie;2053;48.983333;3.616667
LES FONTINETTES;2330 Baulne-en-Brie;2053;48.983333;3.616667
LES FONTINETTES;2440 Benay;2066;49.75;3.316667
LA FONTINETTE;2300 Béthancourt-en-Vaux;2081;49.616667;3.15
LA FONTINETTE;2210 Beugneux;2082;49.233333;3.416667
LA FONTINETTE;2400 Bézu-Saint-Germain;2085;49.1;3.4
LES FONTINETTES;2400 Bézu-Saint-Germain;2085;49.1;3.4
LA FONTINETTE;2270 Bois-lès-Pargny;2096;49.716667;3.65
LES FONTINETTES;2160 Bouffignereux;2104;49.366667;3.85
VIGNES DES FONTINETTES;2160 Bouffignereux;2104;49.366667;3.85
LES FONTINETTES;2880 Braye;2118;49.433333;3.366667
LA FONTINETTE;2860 Bruyères-et-Montbérault;2128;49.516667;3.666667
LA FONTINETTE;2860 Chérêt;2177;49.516667;3.683333
LA FONTINETTE;2000 Chéry-lès-Pouilly;2180;49.65;3.6
LA FONTINETTE;2160 Concevreux;2208;49.383333;3.783333
RUE DES FONTINETTES;2370 Condé-sur-Aisne;2210;49.4;3.45
RUE DE LA FONTINETTE;2840 Coucy-lès-Eppes;2218;49.55;3.766667
LES FONTINETTES;2880 Cuffies;2245;49.416667;3.316667
LES FONTINETTES;2160 Cuiry-lès-Chaudardes;2250;49.383333;3.766667
LA FONTINETTE;2200 Cuisy-en-Almont;2253;49.416667;3.25
RUE DE LA FONTINETTE;2220 Cys-la-Commune;2255;49.4;3.566667
LA FONTINETTE;2690 Essigny-le-Grand;2287;49.766667;3.283333
LA FONTINETTE;2320 Faucoucourt;2301;49.533333;3.466667
LES FONTINETTES;2460 La Ferté-Milon;2307;49.166667;3.116667
LA FONTINETTE;2260 La Flamengrie;2312;50;3.916667
CHE DE LA FONTINETTE;2260 La Flamengrie;2312;50;3.916667
LES FONTINETTES;2670 Folembray;2318;49.55;3.283333
LES FONTINETTES;2650 Fossoy;2328;49.05;3.483333
LA FONTINETTE;2870 Fourdrain;2329;49.6;3.466667
LA FONTINETTE;2300 Guny;2363;49.516667;3.266667
LA DROITE DES FONTINETTES;2160 Guyencourt;2364;49.35;3.833333
LES FONTINETTES;2160 Guyencourt;2364;49.35;3.833333
LES FONTINETTES;2440 Hinacourt;2380;49.733333;3.283333
LA FONTINETTE;2140 Jeantes;2391;49.8;4.05
LE FONT DE FRUTY;2880 Laffaux;2400;49.45;3.416667
LA FONTINETTE;2000 Laon;2408;49.566667;3.616667
LA FONTINETTE;2500 Leuze;2425;49.85;4.15
LES FONTINETTES;2470 Macogny;2449;49.166667;3.233333
LA FONTINETTE;2160 Maizy;2453;49.383333;3.733333
LA FONTINETTE;2820 Mauregny-en-Haye;2472;49.533333;3.8
CR DIT DE LA FONTINETTE;2630 Mennevret;2476;49.983333;3.55
RUE DE LA FONTINETTE;2630 Mennevret;2476;49.983333;3.55
LES FONTINETTES;2720 Mesnil-Saint-Laurent;2481;49.833333;3.35
LA FONTINETTE;2000 Molinchart;2489;49.566667;3.533333
LES FONTINETTES;2470 Monnes;2496;49.15;3.216667
AU DESSUS DE LA FONTINETTE;2820 Montaigu;2498;49.533333;3.833333
LA FONTINETTE;2820 Montaigu;2498;49.533333;3.833333
LES FONTINETTES;2400 Monthiers;2509;49.1;3.3
LA FONTINETTE;2270 Montigny-sur-Crécy;2517;49.716667;3.583333
LES FONTINETTES;2160 Moulins;2530;49.416667;3.683333
